TemperaturaMaxima,Consumodecerveja
32.5,25.461
33.5,28.972
29.9,30.814
28.6,29.799
28.3,28.9
30.5,28.218
33.7,29.732
32.8,28.397
34,24.886
34.2,37.937
34.8,36.254
35.4,25.743
34.8,26.99
34,31.825
32.8,25.724
32.7,29.938
35.8,37.69
35.6,30.524
36.5,29.265
35.6,35.127
30.9,29.13
26.1,25.795
26.1,21.784
29.4,28.348
30,31.088
28.7,21.52
28.7,29.972
29.9,22.603
29.2,22.696
26.9,26.845
24.3,27.03
28,32.057
26.5,24.097
31.1,31.655
23.7,24.738
22.9,19.95
25.4,22.821
28.7,28.893
29.5,29.926
30.7,24.062
29,21.137
30.4,26.805
32.7,26.389
32.1,24.219
31.6,30.231
27.6,24.968
27.3,25.343
28,17.399
26.4,21.392
28.5,22.922
28.2,24.567
31.1,30.943
30.8,30.825
31.4,25.692
31.9,26.959
29.3,25.366
30.3,22.784
31.4,26.241
27.7,26.467
26.3,27.475
29.2,28.749
29.5,24.146
30.5,22.988
31.6,30.3
28.5,22.654
26.6,29.09
24.4,24.619
23.3,20.016
26.9,23.042
28.1,22.933
26.9,22.409
26.6,21.281
27.9,28.844
26.8,32.872
29.4,20.903
25.6,26.275
24.1,20.167
27.1,23.628
28.2,24.213
25.3,28.631
22.8,25.855
23.3,21.406
26.3,21.617
27.9,22.401
29.8,27.989
30.8,24.974
29.5,29.76
26.6,26.116
25.9,25.85
29,24.925
27.5,21.979
26.2,22.116
27.2,24.867
29.4,33.45
26.4,32.713
27.7,22.356
20,21.004
24.3,23.362
25.6,20.298
25.5,24.862
28.4,30.505
25.7,25.07
25.7,22.62
28.8,22.001
27.4,23.469
26.7,21.735
27,21.593
29.3,33.822
27.2,28.028
29.2,24.304
29,31.108
21.6,19.113
24.9,23.198
28.1,24.388
23.3,27.42
23.7,30.479
24.9,21.838
26.9,20.812
22.7,19.761
18.7,20.452
22,17.939
26.4,25.272
26.3,28.049
22.3,25.317
20.8,21.826
20.4,20.68
21.7,19.143
19.2,18.146
26.1,25.489
21,23.537
20.6,16.956
21.7,19.052
18.9,17.287
21,20.3
21.5,20.538
22.3,23.702
22.4,28.411
21.3,21.073
22.9,24.215
23.3,19.525
25,20.786
25.4,20.429
24.4,27.25
26.3,31.387
27.4,26.075
24.8,22.162
27.1,24.258
23.2,24.683
21.9,21.245
22.9,25.937
18.4,26.081
18,16.228
17.5,20.106
21.7,21.055
24.1,22.772
25.3,25.142
26.1,31.129
26.2,30.498
26.4,26.15
26,21.327
26.2,22.008
26.9,24.615
23.5,22.375
27.4,29.607
27.3,32.983
23.4,19.119
18.1,21.029
25.1,23.898
26.2,24.534
17.7,16.748
20.4,23.055
24.6,28.857
24.6,23.022
25.5,27.146
18,17.241
17.4,19.463
20.9,21.86
20.8,24.227
21.8,27.594
24.4,24.863
25.1,20.161
20.5,20.824
19.9,19.727
18.4,14.94
21,24.632
14.5,21.294
20.6,18.448
20.2,21.237
18.7,19.849
20.4,20.74
25.4,25.698
19.8,26.691
27.4,33.298
28.7,25.64
29.3,23.937
27.6,28.742
25.8,21.748
24.3,22.032
23.8,24.827
25.9,32.473
25.1,20.62
21.4,21.825
16.1,14.343
20.6,19.029
25.8,21.104
17.9,20.738
22.9,25.233
24.2,18.975
24.5,19.64
23.8,22.522
26.7,24.227
26.6,24.726
26.4,32.467
26.3,31.663
26.9,25.867
27.4,27.724
27.2,22.039
27.7,26.127
28.9,26.58
27.8,31.31
26.2,33.517
28,23.181
27.2,24.183
26.6,24.594
28.1,22.61
27.6,25.479
27.8,29.621
27.2,26.272
28,22.541
26.5,23.07
28.3,26.021
19.6,17.655
22.1,23.243
26.2,30.177
30,27.518
20.5,23.21
20.5,21.092
24,23.357
19.8,17.888
22.1,22.217
26.7,31.681
32,31.833
32.2,28.441
30.7,22.389
20.2,20.681
25,24.222
19.3,19.345
18.5,21.827
19.9,23.566
24.4,20.227
19.2,17.075
22.9,16.977
25.6,21.525
21.8,21.454
15.6,21.814
16.1,21.252
22.5,20.464
30.1,30.775
32.6,25.343
33,33.93
34.5,26.311
35.5,31.836
33.3,34.695
32.8,29.829
33.3,26.362
34,32.589
35.3,30.345
30.3,29.411
24.9,29.637
30.6,32.184
23.6,17.731
27.1,24.114
27.6,28.034
26.4,22.664
32.7,27.488
25,24.876
21.3,24.862
22.4,24.679
24.7,22.304
32.6,30.329
34,33.182
29,23.849
28,33.33
30,34.496
29.6,26.249
27.6,26.523
28.5,26.793
35.8,35.861
35.7,27.387
29.2,32.666
19.2,22.199
27.2,24
35.3,27.871
32,31.139
22.8,23.065
27.3,26.594
21.2,27.657
19.2,26.594
28.5,28.084
28.4,27.582
23.9,24.862
24.8,22.634
31.2,31.649
29.3,35.781
22.4,24.429
27.2,20.648
25.6,22.741
27.4,21.479
24.8,23.134
22.8,20.575
20,24.33
23.9,28.61
29.5,28.456
31.8,27.964
32.7,29.569
31.8,29.267
29.6,28.647
30.4,26.836
29.7,29.386
24.9,24.609
29.7,26.964
30.5,23.614
30.4,22.96
27,20.332
24.4,30.392
28.8,31.933
23.6,21.662
22.6,21.689
24.8,25.119
27.4,25.285
28.4,28.979
29.8,34.382
26,30.617
23.3,20.238
25.8,24.529
29.4,30.471
26.1,28.405
29.1,29.513
30.6,32.451
28,32.78
23.9,23.375
28,27.713
27.9,27.137
27.7,22.933
30.3,30.74
30.8,29.579
31,29.188
32.5,28.131
32.8,28.617
24.8,21.062
28.7,24.337
33.5,27.042
31.3,32.536
29,30.127
29.1,24.834
32.4,26.828
32.4,26.468
31.5,31.572
31,26.308
29.8,21.955
28.2,32.307
26.7,26.095
24.1,22.309
22.4,20.467
29,22.446
